,fldimp,undrfld,advknow,pubpol,comimp,undrwr,undrsoc,orgimp,impsust
count,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
mean,5.6837404494805694,5.5880744390161929,4.9776247296036704,4.5615687445239139,5.8234370674458766,5.8478731128164307,5.7503291380120203,6.0579145877256737,5.3640713197778389
std,0.3257757134707218,0.41747038227747324,0.5399807184021024,0.5270446831152796,0.4820542794739405,0.42001858295753053,0.3426395106386198,0.18368912798412476,0.315956899647473
min,5.0,4.5686274509803919,3.7272727272727271,3.3947368421052633,4.7705627705627709,5.1703056768558948,4.9423076923076925,5.7333333333333334,4.7999999999999998
25%,5.7589743589743589,5.5161290322580649,4.666666666666667,4.291666666666667,5.7307692307692308,5.6956521739130439,5.6842105263157894,5.9428571428571431,5.192982456140351
50%,5.7894736842105265,5.6969696969696972,5.1640211640211637,4.682758620689655,5.7875647668393784,5.7823834196891193,5.8200000000000003,6.1315789473684212,5.3467336683417086
75%,5.8506493506493502,5.7392739273927393,5.3018867924528301,4.9500000000000002,6.2045454545454541,6.0,5.9285714285714288,6.1764705882352944,5.4523809523809526
max,6.0727272727272723,6.1851851851851851,5.6202090592334493,5.2222222222222223,6.5151515151515156,6.580645161290323,6.1818181818181817,6.2727272727272725,5.870967741935484
